Application Menu Adds	http://www.redmine.org/plugins/redmine_appmenuadds	Plugins for redmine for tabs in main menubar for wiki pages, externals URLs or wiki project pages	Compatible with Redmine 0.9.x, 1.0.x, 1.1.x, 1.2.x.
Assets Plugin	http://www.redmine.org/plugins/redmine_assets_plugin	Provides a central location to view all your project's assets.	Compatible with Redmine 0.9.x, 1.0.x, 1.1.x, 1.2.x.
Attach image from clipboard	http://www.redmine.org/plugins/clipboard_image_paste	Paste image from clipboard as an attachment.	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x, 1.4.x.
Attach Screenshot	http://www.redmine.org/plugins/redmine_attach_screenshot	This plugin  allows attaching several screenshots from clipboard directly to a Redmine issue.	Compatible with Redmine 1.0.x, 1.1.x.
Attachments	http://www.redmine.org/plugins/projects-attachments	You can now see all the attachements within a project sorted in one place.	Compatible with Redmine 2.4.x, 2.3.x, 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.3.x, 1.2.x, 1.1.x, 1.0.x, 0.9.x, 0.8.x, 0.7.x.
Attendance	http://www.redmine.org/plugins/attendance	Monitor vacations, home-office, day-offs, sick leaves or simply time in office in your Redmine.	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x.
Author box	http://www.redmine.org/plugins/author	This plugin allows to add box(es) with project members of a particular role to the side bar of project overview and Wiki pages. This box contains member's gravatar, first name and last name (and other data if you have 	Compatible with Redmine 2.1.x, 2.0.x, 1.4.x, 1.3.x, 1.2.x, 1.1.x, 1.0.x.
Auto assigned user	http://www.redmine.org/plugins/auto_assigned_user	If an user forget to assign the issue, this plugin will auto-assign to the project manager.	Compatible with Redmine 1.0.x, 1.1.x.
Auto Identifier	http://www.redmine.org/plugins/redmine_auto_identifier	Automatically fills in the project identifier field with the safe project name.	Compatible with Redmine 1.0.x, 1.1.x, 1.2.x, 1.3.x.
Autohier	http://www.redmine.org/plugins/autohier	Automatically sets a wiki page's parent page based on its name.	Compatible with Redmine 1.1.x.
Avoid duplicated name in projects list	http://www.redmine.org/plugins/avoid_duplicated_name_in_projects_list	This plugin modify the index page of projects to show ancestors' name (as text, no link) of visible projects, even when ancestors are not visible.	Compatible with Redmine 2.2.x.
Backlogs	http://www.redmine.org/plugins/backlogs	A Redmine plugin for agile teams	Compatible with Redmine 2.2.x, 2.1.x, 2.0.x, 1.1.x.
Banner	http://www.redmine.org/plugins/banner	Plugin to show site-wide message from site administrator, such as 	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x.
Basic Polls	http://www.redmine.org/plugins/redmine_polls	Adds basic polls management to Redmine (the 	Latest News
Better Gantt Chart	http://www.redmine.org/plugins/redmine_better_gantt_chart		Compatible with Redmine 1.1.x, 1.2.x, 1.3.x, 1.4.x.
BigBlueButton	http://www.redmine.org/plugins/redmine_bbb	This plugin allows to start and join web meetings using a BigBlueButton server (	Compatible with Redmine 0.9.x, 1.0.x.
Blocks layout	http://www.redmine.org/plugins/redmine_blocks	Controls presence of boxes on 	Home
Boards/Wiki/Issues watchers management	http://www.redmine.org/plugins/redmine_boards_watchers	Plugin adds ability to select priority level for sticky messages. Messages sorted by level first and modification time second	Settings-&gt;Forums
Book Meeting Room	http://www.redmine.org/plugins/mmqb	The plug-in lets you book and thence display meeting rooms on a calendar interface.	Creating Tracker
Bookmarks on My Page 	http://www.redmine.org/plugins/redmine_bookmarks	Redmine Bookmark block plugin for My Page	Compatible with Redmine 1.0.x, 1.1.x, 1.2.x.
Bots Filter	http://www.redmine.org/plugins/redmine_bots_filter	Bots Filter prevents common bots from crawling various urls. This plugin is usefull for Redmine instances that can be anonymously accessed from the internet to reduce search engine bots trafic.	Compatible with Redmine 0.8.x, 0.9.x, 1.0.x.
BugCam	http://www.redmine.org/plugins/bugcam	 is a video recording tool for software developers and testers that integrates directly with Redmine. Bugcam makes it easier to document and reproduce complicated bugs. Bug videos created with Bugcam can can also incorporate your voice, so you can explain what you're doing as your screen is being recorded. Bugcam is completely free for casual use (up to five bug videos per month).	Compatible with Redmine 0.7.x, 0.8.x, 0.9.x, 1.0.x, 1.1.x, 1.2.x, 1.3.x.
BugHerd for Redmine	http://www.redmine.org/plugins/redmine_bugherd	This plugin enables a full 2-way integration with BugHerd, the world's simplest bug tracker for websites.	Compatible with Redmine 1.2.x, 1.3.x.
Calculated Custom Fields	http://www.redmine.org/plugins/calculated-custom-fields	Custom field which can make calculation. Just like a formula in a spreadsheet cell- it takes some values from other custom fields or native Redmine fields, apply formula on them the provide result.	Compatible with Redmine 2.4.x, 2.3.x, 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.3.x, 1.2.x, 1.1.x.
Campfire Notifications	http://www.redmine.org/plugins/redmine-campfire_notifications	This plugin adds campfire support. Currently, it has hooks to report notifications on issues, messages, and the wiki.	Compatible with Redmine 0.9.x, 1.0.x, 1.1.x, 1.2.x.
Canned Responses	http://www.redmine.org/plugins/canned_responses	Store and use prepared (canned) responses, per-project or globally.	Compatible with Redmine 2.2.x, 2.1.x, 2.0.x.
Carousel	http://www.redmine.org/plugins/redmine_carousel	The plugin can be used for periodic actions that occur during project development process. It automatically generates issue assigned to the next user in the carousel queue every specified time period. You can set users queue, issue settings and time period. Redmine Carousel depends on business_time gem, so you can specify your working hours and holidays, so issues won't be generated if there is nobody in the office.	Compatible with Redmine 1.4.x.
CAS Web Authentication	http://www.redmine.org/plugins/redmine_cas	Redmine plugin to support authentication via 	José Manuel Prieto
Changeauthor Plugin	http://www.redmine.org/plugins/redmine_changeauthor	That plugin provides functionality, to change the authoring information of an issue. In many cases, e.g. getting ticket-request by email, an author-information has been set to "Anonymous" user by the redmine system. Because of workflow purposes or "pro forma", the ticket could be assigned to the an different author. 	Compatible with Redmine 1.1.x.
Charts 2	http://www.redmine.org/plugins/redmine_charts2	Plugin which integrates with Redmine 	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x.
Chat - JChat	http://www.redmine.org/plugins/jchat		Compatible with Redmine 1.0.x.
Checklist	http://www.redmine.org/plugins/issue_checklist	Redmine plugin for adding checklist functionality to issues	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x.
Checkout	http://www.redmine.org/plugins/redmine_checkout	Add configurable information about available checkout/clone URLs and general information to the repository.	Compatible with Redmine 0.9.x, 1.0.x, 1.1.x.
ChiliVideos	http://www.redmine.org/plugins/chili_videos	ChiliProject/Redmine plugin which integrates with Transload.it to offer a private "YouTube-like" setup to your project site.	Compatible with Redmine 0.9.x, 1.0.x, 1.1.x, 1.2.x.
Close Column	http://www.redmine.org/plugins/close_column	This plugin adds a first and last closed date column to issue lists.	Compatible with Redmine 1.2.x.
Close Issue button	http://www.redmine.org/plugins/redmine_close_button	Plugin that places "Close issue" button into contextual toolbar of shown issue.	Compatible with Redmine 0.9.x, 1.0.x, 1.1.x, 1.2.x, 1.3.x.
CMI	http://www.redmine.org/plugins/redmine_cmi	CMI is a Redmine plugin to have a summarized view of the projects.	'Cuadro de Mando Integral'
Cmis for Redmine 2.x	http://www.redmine.org/plugins/cmis_4_redmine_2	Cmis plugin for branches 2.x of Redmine. No backwards compatibility enabled, if you need Cmis integration with Redmine 1.x, please check.-	Tested against Alfresco Cmis Services
CMS	http://www.redmine.org/plugins/cms	Pluing helps to make simpe front end website based on Liquid template language, menus and snipets. 	Compatible with Redmine 2.3.x, 2.2.x.
Code block line numbering	http://www.redmine.org/plugins/line_numbers	Redmine plugin that enables line numbering in code blocks and adds a toggle button to turn it on/off.	Compatible with Redmine 2.4.x, 2.3.x, 2.2.x, 2.1.x, 2.0.x.
Code Review	http://www.redmine.org/plugins/codereview	Code Review is a plugin which lets you annotate source code within the repository browser.	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x.
Coderwall Plugin	http://www.redmine.org/plugins/redmine_coderwall	A plugin for Redmine that displays your Coderwall achievements on My Page and user profile.	Compatible with Redmine 2.1.x, 2.0.x, 1.4.x.
Collapse Quotes	http://www.redmine.org/plugins/collapse_quotes	Redmine plugin to collapse quotes in issue history.	Compatible with Redmine 1.2.x.
Commit Relation Editor	http://www.redmine.org/plugins/commit_relation_editor	This plugin let you edit relations between commits and issues.	Compatible with Redmine 1.3.x.
Configurable projects view	http://www.redmine.org/plugins/projects_view_config	Adds a configuration in "My account", what projects are to be displayed in a "my" projects view. 	Compatible with Redmine 1.4.x.
Contact form	http://www.redmine.org/plugins/contact_form	The Contact form plugin for Redmine adds contact forms allowing to send emails to site owners (top menu item) and/or site members (new link in user profile). The contact form can be configured to meet your needs and supports custom fields.	Compatible with Redmine 1.0.x, 1.1.x, 1.2.x.
Contacts - Contacts Database	http://www.redmine.org/plugins/contacts-database	With this plugin, you will have all contacts at your fingertips! No more boring searching!	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x, 1.4.x.
Context menu watchers	http://www.redmine.org/plugins/redmine_context_menu_watchers	Plugin adds 'Watchers' submenu to issues' context menu allowing to perform various watchers' related operations on selected issues:	Compatible with Redmine 1.3.x.
Create multiples time entries	http://www.redmine.org/plugins/create_multiples_time_entries	This plugin adds a link at the bottom of the log time form (only when creating, not when editing) to log time massively. The link display the same form but with a multiple choice select field to select users. The logged time will be created for those users selected. This is accessible only if the user has the 'create_multiple_time_entries' permission.	Compatible with Redmine 2.2.x.
CRM	http://www.redmine.org/plugins/contacts	Redmine CRM plugin is light CRM which you can manage customers and deals, track tasks and store files	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x.
Custom Field for Best Practical RT Ticket Number	http://www.redmine.org/plugins/redmine_rt_custom_field	This is a custom field type (named RT) that allows you to input a RT (Request Tracker) ticket number. That ticket number will link directly to the ticket in your RT instance. Very basic plugin but needed in my work environment so we can reference RT tickets from bugs filed against an application.	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.3.x, 1.2.x, 1.1.x, 1.0.x, 0.9.x.
Custom Workflows	http://www.redmine.org/plugins/custom-workflows		Compatible with Redmine 2.1.x, 2.0.x, 1.4.x, 1.3.x, 1.2.x.
Daily Status	http://www.redmine.org/plugins/daily_status	redmine_daily_status
====================	Compatible with Redmine 2.2.x.
Default queries per project	http://www.redmine.org/plugins/redmine_default_columns	Plugin allows to apply default queries for individual project or for projects based on their type.	redmine_default_columns
Default Version	http://www.redmine.org/plugins/default-version	With this plugin its possible to add a default version to a project. Heavily based on patches provided by 	Compatible with Redmine 1.2.x.
detailed timed tab	http://www.redmine.org/plugins/redmine_issue_detailed_tabs_time	have tabs in issue, also adds detailed time logs with the rest of comments and issues.	Compatible with Redmine 2.2.x, 2.1.x, 2.0.x.
Did You Mean?	http://www.redmine.org/plugins/didyoumean	 is a Redmine plugin designed to warn users before they enter duplicate issues, in an attempt to mitigate 	Did you mean?
Diff Emails	http://www.redmine.org/plugins/redmine_diff_email	This plugin sends diff emails for each changeset pushed to a repository.	Compatible with Redmine 1.0.x.
Digest	http://www.redmine.org/plugins/digest	This plugin sends email digests. A digest is a summary of a project's activity over a period of time. Each project is checked for activity during the specified period of time, and if there is new activity, an email is sent to each user who has opted to receive the digest.	Compatible with Redmine 1.2.x, 1.3.x, 1.4.x, 2.0.x.
DMSF	http://www.redmine.org/plugins/dmsf	DMSF is Document Management System Features plugin.	Compatible with Redmine 2.3.x.
DocPu, Document publishing plugin	http://www.redmine.org/plugins/redmine_doc_pu	This plugin enables 	PDF
Documents Short	http://www.redmine.org/plugins/redmine_documents_short	A Redmine plugin which displays the documents list in a shorter way.	Compatible with Redmine 2.3.x, 2.1.x.
Doodles	http://www.redmine.org/plugins/redmine_doodles	A doodle module for redmine, a doodle in this case being a collection of simple yes-no questions. The Doodles currently generates an activity entry on creation and answer creation/update, are watchable (i.e. watchers get a notification each time a user gives an or updates his answer), and can be used for simple polls or to plan a meeting date (just enter the possible dates as options). Languages currently supported are english, german, french, russian and korean, the UI has only been tested with gravatars enabled and the alternate theme.	Compatible with Redmine 1.0.x, 1.1.x, 1.2.x.
Download button	http://www.redmine.org/plugins/download	Redmine has "Files" tab for publishing files for download. However it is not always clear that users should use this tab to find the project releases. That's why the "Download button" plugin has been written.	Compatible with Redmine 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.0.x.
Dropbox Attachment Storage	http://www.redmine.org/plugins/redmine_dropbox_attachments	Use Dropbox as the storage backend for your Redmine installation.	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x.
Due Date Reminder	http://www.redmine.org/plugins/due_date_reminder	Installation instruction on GitHub 	Compatible with Redmine 1.3.x, 1.4.x, 2.0.x, 2.1.x.
Duplicate views list	http://www.redmine.org/plugins/redmine_list_duplicate_views	Plugin displays list of Redmine main app views which are substituted in plugins and shows conflicts between plugins as well	Compatible with Redmine 1.3.x, 1.4.x, 2.0.x.
Easy Agile	http://www.redmine.org/plugins/easy_agile	Easy Agile is a simple task board which allows you to define stories and track their statuses through iteration. The application is quite straigtforward for the people familiar with the SCRUM and Agile methodology. Based on the original 	Compatible with Redmine 1.0.x.
Easy Redmine	http://www.redmine.org/plugins/easyredmine	Easy Redmine is Redmine 2.0. compatible extensions which enhances your Redmine with plenty of useful features and provides non-geek user interface.	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x.
ekanban	http://www.redmine.org/plugins/ekanban	Thank you for your interest in eKanban.	Compatible with Redmine 2.2.x, 2.1.x.
Email Notification Content Filter	http://www.redmine.org/plugins/redmine_email_notification_content_filter	This plugin allows you to hide fields from the issue update notification emails, so no sensitive information goes to the email. It can be activated per project and allows you to hide the issue title, description and/or notes.	Compatible with Redmine 2.2.x, 1.4.x.
Embedded Flash Macro	http://www.redmine.org/plugins/redmine_embedded_flash	Note that this plugin patches attachments_controller.rb to use the 	Compatible with Redmine 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.3.x, 1.2.x.
Embedded Video	http://www.redmine.org/plugins/redmine_embedded_video	This Plugin allows you to show Video attachements and URLs in Wiki, Tickets etc.	Compatible with Redmine 2.4.x, 2.3.x, 2.2.x, 2.1.x.
Environment CSS	http://www.redmine.org/plugins/environment-css	This redmine plugin adds the environment name as class to the body of every HTML page. This allows you to customize CSS for staging, development or testing servers.	Compatible with Redmine 1.0.x.
Equipment Status Viewer	http://www.redmine.org/plugins/redmine_equipment_status_viewer	Equipment Status Viewer is a Redmine plugin that tracks the location of equipment. It uses a check in system to track where each item is. It can also print out a QRCode label that your iPhone or Andriod phone can snap and check in quickly.	Compatible with Redmine 1.1.x.
EVM	http://www.redmine.org/plugins/redmine_evm	This plugin generates line graphical indicators, per Project and open Versions, used in EVM (Earned-Value Management). It shows actual cost (hours reported in log time), planned value (estimated hours indicated in new issue), and earned value distributed in weeks / years. It also shows cpi and spi indicators. Tested on redmine 2.1.3	Compatible with Redmine 2.1.x.
Extended Fields	http://www.redmine.org/plugins/extended_fields	The Extended Fields plugin "extends" custom fields by:	Compatible with Redmine 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.0.x.
Extended Profile	http://www.redmine.org/plugins/extended_profile	The default Redmine profile has no information about users themselves - only what issues did they add, what changes did they make etc. There is no way to tell anything about yourself as well...	Compatible with Redmine 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.0.x.
Extended spent time	http://www.redmine.org/plugins/extended_spent_time	Redmine plugin used to extend spent time visualisation options located in "my page".	Compatible with Redmine 1.1.x.
Extended Watchers	http://www.redmine.org/plugins/redmine_extended_watchers	This plugin allows users that can view at least own and assigned issues in a project to be notified of some issue if set as watchers, making patch 	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x.
external_link	http://www.redmine.org/plugins/external_link	The external link plugin is supported the following features.	Compatible with Redmine 2.4.x, 2.3.x, 2.2.x.
Extra query operators plugin	http://www.redmine.org/plugins/redmine_extra_query_operators	Plugin adds extra operators to issues query, allowing to select exact dates and offsets from current date. Also this plugin adds ability to use regular expressions in text fields	due date
Facebook Like button	http://www.redmine.org/plugins/like	This plugin adds Facebook 	Compatible with Redmine 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.0.x.
Favorite Locations	http://www.redmine.org/plugins/favorite_locations	Favorite Locations is a plugin by 	Compatible with Redmine 2.3.x.
Favorite projects	http://www.redmine.org/plugins/favorite_projects	Helps to clean up projects jumpbox. We have about active 50 project in redmine and it is quite inconvenient searching they in right conner jumpbox. This plugin helps organize it.	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x.
Favourite issues	http://www.redmine.org/plugins/favourite_issues	Bookmarking favourite tasks by Like button with Query inclusion	Compatible with Redmine 1.0.x.
Favourite Projects	http://www.redmine.org/plugins/redmine_favourite_projects	A plugin for Redmine to provide a list of favourite projects on My Page, Jump to a Project dropdown or on Top Menu.	Compatible with Redmine 2.1.x.
Fields permissions	http://www.redmine.org/plugins/redmine_fields_permissions	Fields permissions plugin allow you to enable or disable the view of 3 fields in the workflow, fields can be disabled :	Compatible with Redmine 1.3.x.
Finance	http://www.redmine.org/plugins/finance	Plugin for simple accounting with Redmine	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x.
Gantt with date	http://www.redmine.org/plugins/redmine_gantt_with_date	Show day instead of cweek on the gantt chart.	Compatible with Redmine 1.3.x, 1.4.x.
Gems	http://www.redmine.org/plugins/redmine_gems	Gems allows you to create automatically 	Compatible with Redmine 0.9.x, 1.0.x.
Gist Embed	http://www.redmine.org/plugins/gist	Redmine plugin adding a {{gist}} macro that embeds 	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.3.x, 1.2.x.
Github Hook	http://www.redmine.org/plugins/redmine_github_hook	Allow your Redmine installation to be notified when changes have been pushed to a Github repository.	Compatible with Redmine 0.9.x, 1.0.x.
Gitolite Hook	http://www.redmine.org/plugins/redmine_gitolite_hook	Allow your Redmine installation to be notified when changes have been pushed to a Gitolite server repository.	Compatible with Redmine 0.8.x, 0.9.x, 1.0.x.
Gitosis	http://www.redmine.org/plugins/redmine_gitosis	A Redmine plugin which interacts with Gitosis to give you repository management similar to Github. Complete with public key management, automatic repository creation, and privileges based on Redmine project membership.	Compatible with Redmine 0.9.x, 1.0.x, 1.1.x.
GitRevision Download	http://www.redmine.org/plugins/redmine_gitrevision_download	This plugin adds a download link to Redmine's built-in Git repository browser.	Compatible with Redmine 0.9.x, 1.0.x.
Glossary	http://www.redmine.org/plugins/glossary	This is the Redmine plugin which adds the feature of the glossary.	Compatible with Redmine 1.0.x, 1.1.x, 1.2.x.
Google Ads	http://www.redmine.org/plugins/sense	How do you add Google Ads to your Redmine? By using some sidebar plugin? By modifying Redmine RHTML files?..	Compatible with Redmine 1.0.x, 1.1.x, 1.2.x, 1.3.x.
Google Apps login	http://www.redmine.org/plugins/google_apps	Login to Redmine with your Google Apps domain user.	Compatible with Redmine 1.0.x, 1.1.x, 1.2.x, 1.3.x.
Google Docs	http://www.redmine.org/plugins/redmine_google_docs_plugin	Link your google docs to issues. See github page for usage and installation instructions	Compatible with Redmine 1.0.x.
Group Assignee Plugin	http://www.redmine.org/plugins/groupsassignee	This plug-in can set the group representatives.	Compatible with Redmine 1.2.x, 1.3.x.
Groups management plugin	http://www.redmine.org/plugins/groupmanager	This plugin provide a groups management  project module.	Compatible with Redmine 2.2.x.
Haltr	http://www.redmine.org/plugins/haltr	A simple invoicing solution.	Compatible with Redmine 1.4.x, 1.3.x, 1.2.x, 1.1.x, 1.0.x.
Harvest Timelog	http://www.redmine.org/plugins/redmine_harvest_timelog	Plugin which integrates Redmine Timelog with Harvest app (	Compatible with Redmine 1.0.x, 1.1.x, 1.2.x.
Help Desk	http://www.redmine.org/plugins/help-desk	Solution for automation of your support processes. 4 easy steps lead to fully automated support system within your Easy Redmine. This plugin is distributed together with Alerts - Early Warning System (	Compatible with Redmine 2.2.x, 2.1.x, 2.0.x, 1.4.x.
Hide Emails by Default	http://www.redmine.org/plugins/hide-emails	Simple redmine plugin that hides the user's emails by default.	Compatible with Redmine 1.0.x.
Hide Estimated Hours	http://www.redmine.org/plugins/redmine_hide_estimated_hours	This Redmine plugin reuses the standard "view_time_entries" permission to hide the estimated hours for specific roles from	Compatible with Redmine 2.3.x, 2.2.x.
Hide Sidebar	http://www.redmine.org/plugins/sidebar_hide	This plugin adds a tiny hide button next to the sidebar. Clicking this button hides the sidebar.	Note: This plugin is tested with default theme. It may not work as intended with other themes.
Hide user profile	http://www.redmine.org/plugins/hide_user_profile	Add permission to view user profile, hide members box in projects, Link to user is a string. Member profile page is not available - 403.	Compatible with Redmine 1.4.x.
Hipchat Notifications (per project)	http://www.redmine.org/plugins/redmine_hipchat_per_project	HipChat Per Project Notifications from Redmine	Compatible with Redmine 1.4.x.
Hoptoad Server v2	http://www.redmine.org/plugins/redmine_hoptoad_server_v2	An implementation of the Hoptoad protocol 2.0 for Redmine which automatically creates issues from notices submitted via Hoptoad notifiers. Inspired by and loosely based on the 	Administration -&gt; Settings -&gt; Incoming emails
Hudson	http://www.redmine.org/plugins/t-ando_redmine_hudson	Hudson is a plugin which integrates Hudson jobs into Redmine.	Compatible with Redmine 2.2.x, 2.1.x.
Ical	http://www.redmine.org/plugins/redmine_ical	Redmine Ical aims to provide an ical/ics feed or export of issues and versions to be imported into/subscribed from a calendaring software.	Compatible with Redmine 1.0.x.
Image Uploader of CKEditor plugin (CKFinder)	http://www.redmine.org/plugins/ckfinder_for_redmine	You can use CKFinder to uploading images in CKEditor plugin.	Compatible with Redmine 1.4.x, 1.3.x.
Impasse	http://www.redmine.org/plugins/impasse	Impasse is test management tool like Testlink.	Compatible with Redmine 1.1.x, 1.2.x, 1.3.x, 1.4.x, 2.0.x.
Importer	http://www.redmine.org/plugins/importer	Redmine Importer allows importing issues in bulk from .csv files.  Fields will default to name-based mapping but can be overridden at the confirmation screen.  Existing issues can be updated, and issue relationships and custom fields are supported.	Compatible with Redmine 1.0.x, 1.1.x, 1.2.x.
Improved Searchbox	http://www.redmine.org/plugins/redmine_improved_searchbox	Converts Redmine project jumpbox with searchable Select2 combobox.	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x.
Incentify	http://www.redmine.org/plugins/redminedonayincentify	This plugin integrates your Redmine with the service and displays a panel on the issue detail page.	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x, 1.4.x, 1.3.x, 1.2.x, 1.1.x, 1.0.x.
Initr	http://www.redmine.org/plugins/initr	Initr adds a user interface to configure Puppet modules and acts as an external node classifier to puppet server.	Compatible with Redmine 1.4.x, 1.3.x, 1.2.x, 1.1.x, 1.0.x.
Inline Note Images plugin	http://www.redmine.org/plugins/redmine_inline_note_images_plugin	This plugin lets you preview images attached to issue notes. 	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 2.0.x.
Invoices	http://www.redmine.org/plugins/invoices		Compatible with Redmine 2.3.x, 2.2.x, 2.1.x.
Issue cloner	http://www.redmine.org/plugins/redmine_issue_cloner	Redmine plugin that clone issues at the start of month and postpone issues dates	Compatible with Redmine 0.9.x, 1.0.x.
Issue Closed Date	http://www.redmine.org/plugins/closed_date	A plugin that records the end date, allowing to filter by this date, and include it on issues list	Compatible with Redmine 0.9.x, 1.0.x, 1.1.x.
Issue from message	http://www.redmine.org/plugins/redmine_issue_from_message	Plugin allows to create issue from forum message in user selected project	Compatible with Redmine 1.3.x, 1.4.x, 2.0.x.
Issue History	http://www.redmine.org/plugins/redmine_issue_history	Add description history to issues. You can diff current version of description with previous versions	Compatible with Redmine 1.0.x, 1.1.x.
Issue Hot Buttons	http://www.redmine.org/plugins/issue_hot_buttons	Provide configurable hot buttons for often used actions like "Assign to Me", "Tested", "Resolved", etc. Also provide special "Time tracker" hot button to more simple tracking working time and buttons "Next Issue" and "Previous Issue".	Compatible with Redmine 1.2.x, 1.3.x.
Issue Involvement Filter	http://www.redmine.org/plugins/involvement_filter	A plugin to filter out issues in which the current user is involved.	Compatible with Redmine 1.3.x.
Issue notification	http://www.redmine.org/plugins/issue_notification	Issue notification is redmine plugin that send notification to watchers about due date is coming	Compatible with Redmine 0.9.x, 1.0.x.
Issue Template	http://www.redmine.org/plugins/issue_templates	Plugin to generate and use issue templates for each project to assist issue creation.	Compatible with Redmine 2.3.x, 2.2.x, 2.1.x, 1.4.x, 1.3.x.
Issue vote plugin	http://www.redmine.org/plugins/redmine_vote	Enable issues voting module per project, with vote count, voter list and max 1 vote per user.	Compatible with Redmine 1.2.x.
Issuefy	http://www.redmine.org/plugins/issuefy	Issuefy is a redmine plugin for creating issues from a spreadsheet file	Compatible with Redmine 2.3.x.
Issuelimits plugin	http://www.redmine.org/plugins/redmine_issuelimits	Redmine plugin for new issue limitation. Plugin allow block creation of new issue when limit of opened issue reached. Limits can be specified per project or per tracker inside project.	Compatible with Redmine 0.9.x, 1.0.x, 1.1.x, 1.2.x.
JSON RPC API for Redmine	http://www.redmine.org/plugins/redmine_json_rpc	This plugin provides JSON RPC API for Redmine as an alternative to the standard API, that provides too few opportunities to access Redmine data.	Compatible with Redmine 1.2.x.
